iter	Passed	Remaining
0	63	63727
1	65	32887
2	68	22618
3	70	17480
4	72	14388
5	74	12295
6	76	10832
7	78	9694
8	79	8748
9	81	8070
10	84	7569
11	86	7121
12	88	6700
13	89	6337
14	91	6019
15	93	5748
16	95	5494
17	96	5281
18	98	5096
19	100	4921
20	102	4766
21	104	4626
22	105	4496
23	107	4380
24	109	4276
25	111	4174
26	113	4077
27	115	3994
28	117	3933
29	120	3888
30	121	3810
31	123	3739
32	125	3675
33	127	3616
34	128	3556
35	130	3503
36	132	3455
37	134	3404
38	136	3352
39	137	3305
40	139	3273
41	141	3236
42	143	3196
43	145	3156
44	147	3120
45	149	3096
46	151	3066
47	153	3035
48	154	3003
49	156	2974
50	158	2943
51	159	2913
52	161	2886
53	163	2859
54	165	2836
55	166	2812
56	168	2789
57	170	2766
58	172	2747
59	174	2726
60	175	2706
61	177	2683
62	179	2663
63	180	2646
64	182	2630
65	184	2613
66	186	2596
67	188	2580
68	190	2567
69	192	2555
70	194	2538
71	195	2522
72	197	2508
73	199	2493
74	200	2478
75	202	2467
76	205	2458
77	207	2447
78	208	2435
79	210	2421
80	212	2408
81	214	2397
82	215	2385
83	217	2372
84	219	2360
85	221	2352
86	223	2346
87	225	2339
88	227	2328
89	228	2312
90	230	2302
91	232	2294
92	234	2285
93	236	2277
94	238	2267
95	239	2258
96	241	2249
97	243	2239
98	245	2230
99	246	2222
100	248	2214
101	250	2205
102	252	2199
103	254	2192
104	256	2182
105	257	2175
106	259	2166
107	261	2157
108	263	2150
109	264	2142
110	266	2137
111	268	2129
112	270	2123
113	272	2115
114	273	2107
115	275	2099
116	277	2091
117	278	2085
118	280	2077
119	282	2069
120	283	2062
121	285	2056
122	287	2050
123	289	2044
124	291	2038
125	292	2031
126	294	2025
127	296	2020
128	298	2014
129	300	2008
130	301	2002
131	303	1996
132	305	1990
133	307	1985
134	308	1979
135	310	1973
136	312	1968
137	314	1963
138	315	1954
139	317	1949
140	319	1946
141	321	1941
142	322	1932
143	324	1927
144	326	1923
145	328	1919
146	329	1914
147	331	1910
148	333	1907
149	335	1901
150	337	1896
151	339	1892
152	341	1888
153	342	1882
154	344	1877
155	346	1873
156	348	1869
157	349	1864
158	351	1860
159	353	1855
160	355	1850
161	356	1845
162	358	1841
163	360	1836
164	362	1832
165	364	1829
166	365	1825
167	367	1821
168	369	1816
169	371	1811
170	373	1808
171	374	1804
172	376	1801
173	378	1796
174	380	1792
175	381	1787
176	383	1784
177	385	1779
178	387	1775
179	389	1773
180	390	1768
181	392	1764
182	394	1761
183	396	1757
184	398	1754
185	400	1750
186	401	1746
187	403	1742
188	405	1738
189	406	1734
190	408	1730
191	410	1727
192	412	1724
193	414	1720
194	415	1716
195	417	1712
196	419	1708
197	420	1704
198	423	1703
199	424	1699
200	426	1696
201	428	1693
202	430	1689
203	432	1686
204	433	1683
205	436	1680
206	437	1677
207	439	1674
208	441	1671
209	443	1668
210	445	1665
211	447	1662
212	449	1661
213	451	1658
214	453	1655
215	455	1652
216	457	1649
217	458	1645
218	460	1643
219	462	1640
220	464	1636
221	466	1633
222	467	1630
223	469	1627
224	471	1624
225	473	1621
226	475	1617
227	477	1615
228	478	1612
229	480	1609
230	482	1606
231	484	1604
232	486	1601
233	488	1598
234	490	1596
235	492	1593
236	493	1590
237	495	1587
238	497	1583
239	499	1581
240	501	1578
241	502	1575
242	504	1571
243	506	1569
244	508	1566
245	510	1564
246	512	1561
247	513	1558
248	515	1554
249	517	1551
250	519	1548
251	520	1545
252	522	1542
253	524	1541
254	526	1539
255	528	1537
256	530	1534
257	532	1532
258	534	1529
259	536	1526
260	538	1524
261	539	1521
262	542	1519
263	544	1516
264	545	1513
265	547	1510
266	549	1507
267	551	1505
268	552	1502
269	554	1499
270	556	1496
271	558	1493
272	560	1491
273	561	1488
274	563	1485
275	565	1482
276	567	1480
277	568	1477
278	571	1475
279	572	1472
280	574	1470
281	576	1468
282	578	1466
283	580	1463
284	582	1460
285	584	1458
286	586	1456
287	588	1454
288	590	1451
289	592	1449
290	594	1447
291	595	1444
292	597	1442
293	599	1439
294	600	1436
295	603	1434
296	604	1431
297	606	1428
298	608	1427
299	610	1425
300	612	1422
301	614	1419
302	616	1417
303	617	1414
304	619	1411
305	621	1409
306	623	1407
307	625	1405
308	627	1402
309	629	1400
310	631	1398
311	633	1397
312	635	1394
313	637	1391
314	638	1389
315	640	1387
316	642	1385
317	644	1382
318	646	1380
319	648	1377
320	650	1375
321	652	1373
322	653	1370
323	655	1368
324	657	1366
325	659	1364
326	661	1361
327	663	1358
328	665	1356
329	666	1354
330	668	1351
331	670	1349
332	672	1347
333	674	1345
334	676	1342
335	678	1341
336	680	1338
337	682	1336
338	683	1333
339	685	1331
340	687	1328
341	689	1326
342	691	1323
343	692	1321
344	694	1319
345	697	1317
346	698	1315
347	700	1312
348	702	1310
349	704	1308
350	706	1306
351	708	1303
352	710	1301
353	712	1299
354	713	1297
355	716	1295
356	717	1293
357	719	1290
358	721	1288
359	723	1286
360	725	1283
361	727	1281
362	728	1279
363	730	1276
364	732	1274
365	734	1272
366	737	1271
367	738	1269
368	741	1267
369	743	1265
370	745	1263
371	746	1260
372	748	1258
373	750	1256
374	752	1254
375	754	1251
376	756	1249
377	758	1247
378	760	1245
379	761	1243
380	763	1240
381	765	1238
382	767	1236
383	769	1233
384	771	1231
385	772	1229
386	774	1227
387	776	1224
388	778	1222
389	780	1220
390	782	1218
391	784	1216
392	785	1213
393	787	1211
394	789	1209
395	791	1206
396	793	1204
397	795	1202
398	796	1200
399	798	1198
400	801	1196
401	803	1194
402	804	1192
403	806	1190
404	808	1188
405	810	1185
406	812	1183
407	814	1181
408	816	1179
409	818	1178
410	820	1175
411	822	1173
412	824	1171
413	826	1169
414	828	1167
415	830	1165
416	832	1163
417	834	1161
418	835	1158
419	838	1157
420	839	1155
421	841	1152
422	843	1150
423	845	1148
424	847	1145
425	848	1143
426	850	1141
427	852	1139
428	854	1137
429	856	1135
430	858	1133
431	860	1131
432	862	1129
433	864	1127
434	866	1125
435	868	1123
436	870	1121
437	872	1119
438	874	1117
439	876	1115
440	878	1113
441	880	1111
442	882	1109
443	883	1106
444	885	1104
445	887	1102
446	889	1100
447	891	1098
448	893	1096
449	894	1093
450	897	1091
451	898	1089
452	900	1087
453	902	1085
454	905	1084
455	906	1081
456	908	1079
457	910	1077
458	912	1076
459	914	1073
460	916	1071
461	918	1069
462	920	1067
463	922	1066
464	925	1064
465	926	1062
466	928	1060
467	930	1058
468	932	1056
469	934	1053
470	937	1052
471	940	1051
472	943	1050
473	945	1049
474	948	1048
475	951	1046
476	958	1050
477	961	1050
478	966	1051
479	970	1051
480	974	1051
481	976	1049
482	981	1050
483	983	1048
484	987	1048
485	990	1047
486	993	1046
487	1005	1054
488	1008	1053
489	1011	1052
490	1013	1051
491	1017	1050
492	1019	1048
493	1022	1047
494	1025	1046
495	1028	1045
496	1032	1044
497	1034	1042
498	1037	1041
499	1040	1040
500	1045	1041
501	1048	1039
502	1050	1037
503	1052	1035
504	1054	1033
505	1055	1030
506	1057	1028
507	1059	1026
508	1061	1024
509	1063	1022
510	1065	1019
511	1067	1017
512	1069	1015
513	1071	1013
514	1073	1011
515	1075	1008
516	1077	1006
517	1079	1004
518	1081	1002
519	1083	1000
520	1085	997
521	1087	995
522	1089	993
523	1090	991
524	1092	988
525	1094	986
526	1097	984
527	1099	982
528	1101	980
529	1109	984
530	1112	982
531	1114	980
532	1116	978
533	1118	975
534	1120	973
535	1122	971
536	1123	969
537	1125	966
538	1127	964
539	1129	961
540	1131	959
541	1133	957
542	1134	955
543	1136	952
544	1138	950
545	1140	948
546	1142	945
547	1144	943
548	1145	941
549	1147	938
550	1149	936
551	1151	934
552	1152	931
553	1154	929
554	1156	927
555	1159	925
556	1161	923
557	1162	921
558	1164	918
559	1166	916
560	1168	914
561	1170	912
562	1172	909
563	1174	907
564	1175	905
565	1177	903
566	1179	900
567	1181	898
568	1183	896
569	1185	894
570	1187	892
571	1189	889
572	1191	887
573	1192	885
574	1194	883
575	1196	880
576	1198	878
577	1200	876
578	1201	873
579	1203	871
580	1205	869
581	1207	867
582	1209	864
583	1211	862
584	1213	860
585	1215	858
586	1216	856
587	1218	853
588	1220	851
589	1222	849
590	1224	847
591	1226	844
592	1228	842
593	1230	840
594	1231	838
595	1233	836
596	1235	834
597	1237	831
598	1239	829
599	1241	827
600	1243	825
601	1245	823
602	1247	821
603	1248	818
604	1250	816
