iter	RMSE
0	3867.399224
1	3336.268338
2	2939.969495
3	2675.161609
4	2487.169899
5	2358.48962
6	2249.337856
7	2169.543566
8	2119.44434
9	2076.491201
10	2044.758244
11	2014.658386
12	1987.79301
13	1969.500953
14	1955.828612
15	1944.902155
16	1934.806416
17	1922.777505
18	1914.072362
19	1906.201155
20	1899.040432
21	1893.837522
22	1886.17121
23	1879.169184
24	1873.958444
25	1869.947713
26	1864.727132
27	1856.269668
28	1853.451197
29	1850.817484
30	1844.883604
31	1841.214867
32	1839.539051
33	1834.775283
34	1830.654711
35	1826.57126
36	1824.584155
37	1822.218712
38	1818.540926
39	1815.913903
40	1814.004727
41	1809.649167
42	1807.67885
43	1803.335291
44	1801.488872
45	1798.928063
46	1798.19654
47	1793.610283
48	1791.136964
49	1788.91064
50	1787.742908
51	1784.498267
52	1781.134475
53	1778.955973
54	1776.603304
55	1774.154
56	1771.824182
57	1769.976537
58	1767.289819
59	1766.229004
60	1763.493753
61	1760.828201
62	1759.948294
63	1758.865894
64	1756.594558
65	1754.931817
66	1753.634192
67	1751.898123
68	1750.607064
69	1749.528076
70	1748.415347
71	1747.449399
72	1745.066201
73	1743.405396
74	1741.756927
75	1740.995892
76	1738.988277
77	1737.505708
78	1736.543625
79	1735.398816
80	1734.84148
81	1733.892946
82	1733.106655
83	1731.59929
84	1730.405082
85	1730.118289
86	1729.483299
87	1728.819792
88	1727.12795
89	1726.949355
90	1725.319259
91	1724.486425
92	1723.674023
93	1722.510036
94	1721.838667
95	1720.20803
96	1719.035481
97	1718.303621
98	1716.857311
99	1715.658728
100	1714.702231
101	1713.167595
102	1712.06337
103	1711.515054
104	1710.894103
105	1709.791144
106	1709.232684
107	1707.839441
108	1707.2669
109	1706.884405
110	1705.920761
111	1705.165635
112	1704.514119
113	1703.67917
114	1702.898277
115	1702.306954
116	1702.141802
117	1701.767549
118	1701.378944
119	1700.413645
120	1699.483957
121	1698.452771
122	1697.838735
123	1697.353114
124	1696.773858
125	1695.869872
126	1694.949457
127	1694.063027
128	1693.491908
129	1692.596125
130	1692.025199
131	1690.777406
132	1690.062978
133	1689.894416
134	1689.327172
135	1688.844552
136	1688.179515
137	1687.939327
138	1687.708092
139	1687.164379
140	1686.586409
141	1685.282528
142	1684.190446
143	1683.320061
144	1682.46114
145	1682.002465
146	1681.52934
147	1681.086954
148	1680.575816
149	1679.726777
150	1678.929562
151	1678.433902
152	1677.818639
153	1677.630932
154	1677.258418
155	1676.553703
156	1675.854419
157	1675.090481
158	1674.343321
159	1673.864714
160	1673.159258
161	1672.764375
162	1672.570468
163	1671.842488
164	1671.042432
165	1671.028745
166	1670.569424
167	1670.286885
168	1669.710171
169	1667.961384
170	1667.489442
171	1667.091733
172	1666.161413
173	1665.405846
174	1665.126738
175	1664.451635
176	1663.376857
177	1663.263295
178	1662.578866
179	1662.129548
180	1661.557504
181	1660.931387
182	1660.058602
183	1659.392977
184	1658.831201
185	1658.419836
186	1657.876524
187	1656.858141
188	1656.853972
189	1656.681818
190	1656.294015
191	1655.948414
192	1655.301712
193	1654.521326
194	1653.418836
195	1653.25088
196	1652.310967
197	1651.73696
198	1651.207642
199	1650.854876
200	1650.317289
201	1649.588753
202	1649.406947
203	1649.224342
204	1649.219745
205	1648.886183
206	1648.83044
207	1648.344894
208	1648.035827
209	1648.007291
210	1647.64002
211	1647.336076
212	1647.332731
213	1646.737681
214	1646.160293
215	1645.921758
216	1645.091349
217	1644.631556
218	1644.427639
219	1643.733004
220	1643.1305
221	1642.871237
222	1642.562189
223	1642.00434
224	1641.785938
225	1641.097894
226	1640.759864
227	1640.384741
228	1639.622487
229	1638.898124
230	1638.077612
231	1637.612803
232	1637.458253
233	1636.766645
234	1636.415356
235	1635.687802
236	1635.498411
237	1635.192804
238	1635.131517
239	1634.862168
240	1634.583512
241	1633.970704
242	1633.452217
243	1633.013992
244	1632.746458
245	1632.477804
246	1632.013201
247	1631.496689
248	1631.049118
249	1630.913379
250	1630.44861
251	1630.073224
252	1629.730187
253	1629.189995
254	1629.040546
255	1628.888042
256	1628.550238
257	1628.542738
258	1627.92663
259	1627.328806
260	1626.994059
261	1626.461429
262	1626.060313
263	1625.688569
264	1625.482476
265	1624.794593
266	1624.283261
267	1623.882306
268	1623.872155
269	1623.384989
270	1623.146655
271	1622.947191
272	1622.650006
273	1622.266494
274	1621.990755
275	1621.637389
276	1621.069239
277	1620.425675
278	1620.161696
279	1619.895284
280	1619.688184
281	1619.339919
282	1618.865716
283	1618.612209
284	1618.374928
285	1617.972935
286	1617.003133
287	1616.860184
288	1616.55738
289	1616.296765
290	1615.81265
291	1615.72979
292	1615.402211
293	1615.043666
294	1614.512807
295	1614.262685
296	1614.023749
297	1613.740861
298	1613.046847
299	1612.764655
