iter	Passed	Remaining
0	97	29266
1	145	21682
2	177	17546
3	214	15856
4	259	15301
5	292	14345
6	321	13464
7	357	13055
8	396	12812
9	419	12157
10	445	11704
11	476	11429
12	500	11046
13	537	10987
14	577	10969
15	611	10861
16	648	10797
17	667	10455
18	693	10257
19	731	10240
20	766	10184
21	797	10082
22	824	9924
23	858	9873
24	888	9771
25	918	9678
26	949	9595
27	972	9443
28	1011	9454
29	1054	9493
30	1091	9469
31	1123	9410
32	1165	9429
33	1193	9335
34	1218	9225
35	1270	9320
36	1305	9279
37	1333	9192
38	1357	9085
39	1387	9020
40	1442	9111
41	1485	9123
42	1523	9107
43	1563	9098
44	1594	9033
45	1623	8963
46	1668	8982
47	1690	8877
48	1719	8809
49	1761	8805
50	1811	8844
51	1842	8786
52	1894	8829
53	1921	8754
54	1947	8673
55	1980	8629
56	2010	8572
57	2039	8510
58	2067	8445
59	2100	8401
60	2125	8328
61	2157	8281
62	2198	8270
63	2227	8213
64	2252	8144
65	2283	8094
66	2304	8013
67	2338	7978
68	2369	7931
69	2405	7904
70	2437	7862
71	2470	7824
72	2502	7782
73	2529	7726
74	2561	7683
75	2592	7640
76	2619	7585
77	2647	7534
78	2679	7495
79	2724	7492
80	2756	7453
81	2783	7399
82	2815	7359
83	2848	7324
84	2878	7280
85	2908	7238
86	2946	7213
87	2976	7169
88	3005	7126
89	3037	7087
90	3066	7042
91	3090	6986
92	3121	6947
93	3144	6891
94	3175	6853
95	3205	6811
96	3234	6769
97	3269	6740
98	3300	6701
99	3327	6655
100	3360	6620
101	3390	6582
102	3418	6537
103	3449	6500
104	3472	6449
105	3509	6423
106	3546	6396
107	3586	6375
108	3623	6348
109	3655	6314
110	3689	6282
111	3722	6248
112	3764	6229
113	3807	6211
114	3835	6170
115	3871	6141
116	3901	6102
117	3940	6078
118	3971	6040
119	4011	6017
120	4049	5990
121	4077	5948
122	4105	5908
123	4146	5885
124	4188	5863
125	4220	5828
126	4253	5793
127	4281	5752
128	4320	5727
129	4362	5704
130	4390	5664
131	4415	5620
132	4451	5589
133	4478	5547
134	4510	5513
135	4546	5482
136	4610	5485
137	4642	5449
138	4674	5414
139	4703	5375
140	4743	5348
141	4767	5304
142	4797	5267
143	4821	5223
144	4863	5198
145	4891	5159
146	4923	5124
147	4963	5097
148	4993	5060
149	5018	5018
150	5047	4980
151	5075	4942
152	5115	4914
153	5145	4878
154	5224	4887
155	5272	4867
156	5332	4856
157	5361	4818
158	5412	4799
159	5459	4777
160	5512	4758
161	5568	4743
162	5609	4714
163	5656	4690
164	5688	4654
165	5725	4621
166	5762	4589
167	5797	4555
168	5825	4515
169	5865	4485
170	5919	4465
171	5965	4439
172	6008	4410
173	6054	4384
174	6085	4346
175	6146	4330
176	6187	4299
177	6218	4262
178	6259	4231
179	6293	4195
180	6330	4162
181	6365	4126
182	6398	4091
183	6431	4054
184	6472	4023
185	6498	3982
186	6522	3941
187	6554	3904
188	6576	3862
189	6609	3826
190	6640	3789
191	6673	3753
192	6704	3716
193	6741	3683
194	6775	3648
195	6803	3609
196	6831	3571
197	6853	3530
198	6882	3493
199	6907	3453
200	6941	3418
201	6975	3384
202	7006	3347
203	7048	3317
204	7078	3280
205	7109	3244
206	7138	3207
207	7175	3173
208	7211	3139
209	7237	3101
210	7267	3065
211	7297	3029
212	7321	2990
213	7359	2957
214	7391	2922
215	7420	2885
216	7453	2850
217	7486	2816
218	7515	2779
219	7543	2743
220	7571	2706
221	7593	2667
222	7621	2631
223	7646	2594
224	7676	2558
225	7700	2521
226	7739	2488
227	7772	2454
228	7803	2419
229	7826	2382
230	7849	2344
231	7879	2309
232	7921	2277
233	7949	2242
234	7976	2206
235	8009	2172
236	8047	2139
237	8075	2103
238	8105	2068
239	8137	2034
240	8166	1999
241	8194	1963
242	8223	1928
243	8249	1893
244	8277	1858
245	8305	1823
246	8345	1790
247	8373	1755
248	8409	1722
249	8438	1687
250	8476	1654
251	8508	1620
252	8557	1589
253	8584	1554
254	8612	1519
255	8641	1485
256	8676	1451
257	8700	1416
258	8727	1381
259	8755	1346
260	8787	1313
261	8815	1278
262	8837	1243
263	8875	1210
264	8905	1176
265	8936	1142
266	8972	1109
267	9006	1075
268	9038	1041
269	9067	1007
270	9105	974
271	9145	941
272	9187	908
273	9223	875
274	9256	841
275	9281	807
276	9311	773
277	9352	740
278	9376	705
279	9403	671
280	9435	637
281	9464	604
282	9494	570
283	9522	536
284	9563	503
285	9595	469
286	9623	435
287	9651	402
288	9679	368
289	9711	334
290	9739	301
291	9773	267
292	9804	234
293	9836	200
294	9867	167
295	9901	133
296	9935	100
297	9962	66
298	9986	33
299	10015	0
